Recording ID,Timestamp,Raw Duration,Processed Duration,MFCC Shape,Mel Spec Shape
1,2024-10-25 14:57:35.758037,3.0,3.0,"(13, 259)","(128, 259)"
2,2024-10-25 14:57:41.013255,3.0,3.0,"(13, 259)","(128, 259)"
3,2024-10-25 14:57:46.249932,3.0,3.0,"(13, 259)","(128, 259)"
4,2024-10-25 14:57:51.497893,3.0,3.0,"(13, 259)","(128, 259)"
5,2024-10-25 14:57:56.745209,3.0,3.0,"(13, 259)","(128, 259)"
6,2024-10-25 14:58:02.014821,3.0,3.0,"(13, 259)","(128, 259)"
7,2024-10-25 14:58:07.429850,3.0,3.0,"(13, 259)","(128, 259)"
8,2024-10-25 14:58:12.689041,3.0,3.0,"(13, 259)","(128, 259)"
9,2024-10-25 14:58:17.940475,3.0,3.0,"(13, 259)","(128, 259)"
10,2024-10-25 14:58:23.191404,3.0,3.0,"(13, 259)","(128, 259)"
